,,,,,,"C-11 POPULATION ATTENDING EDUCATIONAL INSTITUTION BY COMPLETED EDUCATION LEVEL, AGE AND SEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Tehsil,Area Name,Total/,Age-group,Total population,,,Population ,,,Illiterates,,,Literates,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Code,,Rural/,,,,,attending educational institution,,,,,,,,,Literate without,,,Below primary,,,Primary,,,Middle,,,Matric/Secondary,,,Higher Secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate not,,,Graduate & above,,,Unclassified,,
,,,,,Urban/,,,,,,,,,,,,,,education level,,,,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,equal to degree,,,,,,,,
,,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,38,39,40
A,B,C,D,STATE,TOTal,AGE,PERSONS,MALE,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3311,00,00,0000,INDIA,Total,17,14898862,8033721,6865141,7045705,4197694,2848011,54041,19612,34429,6991664,4178082,2813582,41187,23370,17817,175395,103038,72357,566247,350516,215731,1672440,1091373,581067,4535212,2608927,1926285,0,0,0,0,0,0,0,0,0,0,0,0,1183,858,325
C3311,00,00,0000,INDIA,Total,18,27686902,15166111,12520791,8820409,5613151,3207258,96945,37440,59505,8723464,5575711,3147753,82997,47548,35449,258586,159324,99262,613246,400927,212319,1596269,1125327,470942,2854492,1927826,926666,3198000,1821755,1376245,11664,8036,3628,106116,83470,22646,0,0,0,2094,1498,596
C3311,00,00,0000,INDIA,Total,19,13331257,6941938,6389319,4163063,2568701,1594362,42775,15273,27502,4120288,2553428,1566860,40679,22843,17836,136530,80110,56420,204706,125965,78741,437998,301882,136116,931305,644558,286747,2266460,1299709,966751,9154,6298,2856,91982,70978,21004,0,0,0,1474,1085,389
C3311,00,00,0000,INDIA,Total,20-24,89764132,46321150,43442982,12332462,8211062,4121400,246019,82710,163309,12086443,8128352,3958091,229446,111644,117802,282494,169382,113112,515410,321226,194184,885240,632504,252736,1796232,1317996,478236,5078764,3367870,1710894,30407,23075,7332,295081,239336,55745,2967212,1940726,1026486,6157,4593,1564
C3311,00,00,0000,INDIA,Total,25-29,83422393,41557546,41864847,1746604,1176837,569767,155297,46812,108485,1591307,1130025,461282,173881,64495,109386,38545,14681,23864,13767,7634,6133,11555,7558,3997,95694,70435,25259,320121,243543,76578,5051,4119,932,39416,33867,5549,891834,682606,209228,1443,1087,356
C3311,00,00,0000,INDIA,Total,30-34,74274044,37361916,36912128,678401,358596,319805,154281,48529,105752,524120,310067,214053,166679,60643,106036,34885,13437,21448,9852,5304,4548,6731,4304,2427,35279,25035,10244,70532,50935,19597,1324,1086,238,9870,8120,1750,188464,140894,47570,504,309,195
C3311,00,00,0000,INDIA,Total,35-59,237962264,124219958,113742306,1050389,558859,491530,296546,101905,194641,753843,456954,296889,286265,127352,158913,61157,29011,32146,25888,15911,9977,15840,11160,4680,65803,49129,16674,77488,56510,20978,1831,1461,370,12328,9572,2756,206389,156343,50046,854,505,349
C3311,00,00,0000,INDIA,Total,60+,76622321,37768327,38853994,147458,90218,57240,44300,17640,26660,103158,72578,30580,25524,16173,9351,8543,5380,3163,5306,3743,1563,2367,1758,609,12440,9489,2951,17510,12138,5372,351,288,63,1555,1255,300,29435,22261,7174,127,93,34
C3311,00,00,0000,INDIA,Total,Age not stated,2738472,1500562,1237910,37742,23291,14451,2973,1218,1755,34769,22073,12696,3961,2156,1805,1359,738,621,616,413,203,370,257,113,4035,2712,1323,9686,6227,3459,162,133,29,799,618,181,13677,8738,4939,104,81,23
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,10143700,5360926,4782774,2463443,1397468,1065975,308451,160993,147458,2154992,1236475,918517,9979,6543,3436,741752,416556,325196,600622,342464,258158,383915,221811,162104,233699,136760,96939,134994,80613,54381,184,140,44,1145,821,324,48493,30645,17848,209,122,87
